,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss
0,1,0,[19881 33812],4,1,False,0.0,0.0
1,2,0,[38883 10428],20,1,False,0.0,0.0
2,3,0,[13067  6620],42,1,True,3.929962158203125,0.6931298971176147
3,4,0,[33961 32122],45,1,True,3.922701835632324,0.6931919455528259
4,5,0,[ 2897 29394],46,1,True,3.9333677291870117,0.6931487917900085
5,6,0,[51085 18455],36,1,False,0.0,0.0
6,7,0,[36303 19032],12,0,True,3.961324691772461,0.6931113004684448
7,8,0,[42101 20257],32,0,False,0.0,0.0
8,9,0,[ 8115 39423],8,1,True,3.9811010360717773,0.6930676698684692
9,10,0,[51267 47675],2,0,False,0.0,0.0
10,11,0,[51610 34144],7,1,True,3.9889087677001953,0.6934065818786621
11,12,0,[21481 43985],23,0,True,3.9958906173706055,0.6934027075767517
12,13,0,[31852 48884],29,1,False,0.0,0.0
13,14,0,[15484 45965],48,1,False,0.0,0.0
14,15,0,[40776 10730],48,1,False,0.0,0.0
15,16,0,[10574 51315],11,1,True,4.033636569976807,0.6927513480186462
16,17,0,[38833  5431],31,1,False,0.0,0.0
17,18,0,[ 8872 14810],12,1,False,0.0,0.0
18,19,0,[48673 45112],46,1,False,0.0,0.0
19,20,0,[21500 44096],10,1,True,4.094898700714111,0.6924961805343628
20,21,0,[30183 42406],12,0,True,3.2481274604797363,0.6960304379463196
21,22,0,[30013 24054],35,0,False,0.0,0.0
22,23,0,[32683 32787],18,1,False,0.0,0.0
23,24,0,[38195  1828],43,0,False,0.0,0.0
24,25,0,[31438 30301],29,1,False,0.0,0.0
25,26,0,[ 8317 39328],48,0,False,0.0,0.0
26,27,0,[14068 46596],18,0,False,0.0,0.0
27,28,0,[29264  9384],0,0,False,0.0,0.0
28,29,0,[ 9863 15825],2,1,True,4.192367076873779,0.6932117938995361
29,30,0,[13094 31861],24,0,True,4.219277381896973,0.6919286251068115
0,31,0,[25222 15378],11,0,True,3.484611988067627,0.6929113864898682
1,32,0,[ 2723 35633],5,0,True,4.198792457580566,0.6925223469734192
2,33,0,[16038  7223],12,1,False,0.0,0.0
3,34,0,[43510 49019],41,0,False,0.0,0.0
4,35,0,[18331 35470],18,0,False,0.0,0.0
5,36,0,[ 6136 45211],44,0,True,4.268488883972168,0.6934249997138977
6,37,0,[13201  5610],38,1,True,4.211756229400635,0.6922382712364197
7,38,0,[40975 48550],39,1,True,4.211256504058838,0.6932611465454102
8,39,0,[28408 17121],25,0,True,4.29865026473999,0.694891095161438
9,40,0,[ 7865 11410],12,1,False,0.0,0.0
10,41,0,[44314 11697],7,0,True,3.2382447719573975,0.6700946092605591
11,42,0,[40182 38612],17,1,True,4.219145774841309,0.692746102809906
12,43,0,[17228 45934],8,0,False,0.0,0.0
13,44,0,[ 6811 33684],22,1,False,0.0,0.0
14,45,0,[52283 35017],8,1,False,0.0,0.0
15,46,0,[18537 34361],10,0,True,3.579860210418701,0.6924422979354858
16,47,0,[ 2638 30626],13,1,True,4.18602991104126,0.6931270360946655
17,48,0,[36195 46279],16,0,False,0.0,0.0
18,49,0,[40909 28758],9,1,False,0.0,0.0
19,50,0,[21653  3866],28,1,False,0.0,0.0
20,51,0,[48110 35262],23,0,True,3.470755100250244,0.7200525999069214
21,52,0,[24050 52274],28,1,True,4.147707462310791,0.6932588815689087
22,53,0,[38563 18755],21,0,True,4.147124290466309,0.6924651861190796
23,54,0,[18261 45690],6,0,True,4.126510143280029,0.6917244791984558
24,55,0,[21564  1040],0,1,False,0.0,0.0
25,56,0,[47537 27984],36,1,False,0.0,0.0
26,57,0,[ 8789 36573],42,0,True,3.4028918743133545,0.6975739002227783
