,episode,role_setting,images,symbol,guess,success
0,1,0,[10114 10903 33503 34924],40,2,False
1,2,0,[45525 19132 44727 39645],33,1,False
2,3,0,[  790  3522 33100 15832],40,3,False
3,4,0,[21034 13337  6044 32479],33,2,False
4,5,0,[ 6191 41046 25307 10688],40,0,False
5,6,0,[39935   329 18467 38518],33,0,False
6,7,0,[46668  4838 19480 28732],33,3,False
7,8,0,[40788 15653 15994 25008],33,0,True
8,9,0,[27463   356 23562 46671],33,1,True
9,10,0,[ 4289  7778 51482 11510],33,0,True
10,11,0,[32271 37143  7019 35100],40,1,True
11,12,0,[10322 31895 13084 25149],33,3,True
12,13,0,[17521 18674  6036  9277],40,3,True
13,14,0,[46984 11615 47289 20186],33,1,False
14,15,0,[20247 34546 31887 23911],33,0,False
15,16,0,[20078  9277 25480 34605],33,2,True
16,17,0,[ 1331 13219 20662 37787],40,0,False
17,18,0,[43952 18852 50542  5087],40,2,True
18,19,0,[32226 24184 36187 47074],40,3,True
19,20,0,[ 9536  3014 31910 21515],33,2,True
20,21,0,[15295 44247 31632 29827],40,3,False
21,22,0,[36384 18468 22508 37504],40,2,True
22,23,0,[44139  5115 36751 39313],33,1,True
23,24,0,[13216 37858 44378 38208],40,2,False
24,25,0,[15517 39757 31818 44519],40,3,True
25,26,0,[52467 34170 43467 16045],33,1,True
26,27,0,[15717 42192 44955 46154],33,2,True
27,28,0,[ 4626 13249  1212 10067],33,0,True
28,29,0,[47459 16419 50015  3925],33,0,False
29,30,0,[40370 10298  7768 50331],40,0,False
30,31,0,[51885 17645 37254  8027],40,2,True
31,32,0,[41217  8493 18404 24826],40,0,False
32,33,0,[45248 26227 42364 12569],40,0,True
33,34,0,[ 2460 42141 41522 18001],40,1,False
34,35,0,[17458 16964 18675    54],40,2,False
35,36,0,[11617 51318 41299 18583],40,1,True
36,37,0,[26115 37784  6974  4689],33,2,False
37,38,0,[ 9265 48545 25915 22709],33,2,True
38,39,0,[51783 28105  1771  6344],33,0,True
39,40,0,[  406 40718  7087 17193],40,0,False
40,41,0,[46948 19530 27925  8674],40,3,False
41,42,0,[17305 36788  5567 16201],40,3,True
42,43,0,[39909 51815 12987 24706],33,2,False
43,44,0,[29849 17821  3834 33068],40,1,True
44,45,0,[11408 27965 46076 40933],40,2,True
45,46,0,[32256  4053 25128 15537],40,3,True
46,47,0,[41578 41650 40831 32613],33,1,True
47,48,0,[ 2540 13438 23732 40114],40,2,True
48,49,0,[46609 18519 22737  3868],33,3,False
49,50,0,[45412 24563 15614 22629],33,1,False
50,51,0,[20648 48859  8466 42995],40,0,False
51,52,0,[25277 31721 28389  2648],40,3,False
52,53,0,[ 5683 23240 32672  1763],40,1,True
53,54,0,[34572 43421 46655  3023],40,3,True
54,55,0,[11114  4688 46610 38998],40,3,False
55,56,0,[14816 51795 12117 51162],33,0,False
56,57,0,[24026 33208 37928 46077],40,2,True
57,58,0,[30610   380 37134 28908],40,0,True
58,59,0,[30992 13856 25203 39605],33,2,True
59,60,0,[37540 31482 29074 18216],33,3,False
60,61,0,[33164 29793 19462 47969],33,3,False
61,62,0,[40448 37414  9448 30974],33,2,False
62,63,0,[51408 40380 13180 41737],33,3,True
63,64,0,[11856 36276 18832 17110],40,0,False
64,65,0,[32850 44183 14221 21371],33,3,False
65,66,0,[29026  8138 12899 17237],33,1,True
66,67,0,[19918 15629 43201 38801],33,0,False
67,68,0,[23527 32746  2873  4288],40,3,False
68,69,0,[22780 34137 50801 28434],40,1,False
69,70,0,[39031 45696 52488 16490],33,0,True
70,71,0,[38690 29458 50984 40756],33,3,False
71,72,0,[51924 11774  1324 39843],40,1,False
72,73,0,[20490  8554  5257 20981],33,1,True
73,74,0,[30414 25700 42780 20584],40,3,False
74,75,0,[ 2742 45893 37834 13823],40,2,True
75,76,0,[34060 35970 38117 28545],33,1,False
76,77,0,[30525 34125 17130 26557],40,1,False
77,78,0,[43062 13218 38353 30131],33,3,True
78,79,0,[ 2802  6184 35646 37933],40,0,True
79,80,0,[10295 37028 32752  4565],40,1,True
80,81,0,[20949 37132  3083 32900],33,3,True
81,82,0,[  543 50853  7800 16014],40,2,False
82,83,0,[18364 48990 18651 30008],33,1,True
