,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss
0,1,0,[ 8021 29799 50168 13683],49,0,True,3.905179738998413,1.3862745761871338
1,2,0,[38512 47447 20507 46514],24,2,True,3.9179270267486572,1.386353850364685
2,3,0,[40172  4714 32960 10524],0,3,False,0.0,0.0
3,4,0,[ 6351 23838 22535 16612],2,2,False,0.0,0.0
4,5,0,[48998 33253  7588 23270],42,2,False,0.0,0.0
5,6,0,[31862 30968 10627 29796],20,0,False,0.0,0.0
6,7,0,[29869 24764 43017 13365],12,1,False,0.0,0.0
7,8,0,[23901 12605  6319  4125],43,1,False,0.0,0.0
8,9,0,[17891 21463 13483 39116],24,1,False,0.0,0.0
9,10,0,[ 3060 26470 23217 12855],27,3,False,0.0,0.0
10,11,0,[14711  9111 52038 49725],33,1,True,3.9948103427886963,1.3863528966903687
11,12,0,[28937  1812 27111 28031],3,1,False,0.0,0.0
12,13,0,[11079 23004  9696 17735],33,0,True,3.7973792552948,1.386191964149475
13,14,0,[14913 41751 20460 41529],8,2,False,0.0,0.0
14,15,0,[ 7475 23444 37757 27364],43,2,False,0.0,0.0
15,16,0,[33108 50154 20286  2729],42,3,True,4.028182506561279,1.386195182800293
16,17,0,[ 9732 49347 19505  7217],20,3,False,0.0,0.0
17,18,0,[39908  7461 36853 49763],18,2,True,4.063106060028076,1.3864469528198242
18,19,0,[10015 35853 24030  9746],14,0,True,4.064557075500488,1.3860530853271484
19,20,0,[41923  4889 40588 31479],17,1,True,4.082302093505859,1.3861528635025024
20,21,0,[35500 41739 15640 30374],22,3,False,0.0,0.0
21,22,0,[46505 24290 44292 41376],21,1,False,0.0,0.0
22,23,0,[ 2586 35882 34355  1241],22,2,False,0.0,0.0
23,24,0,[28699  1141 29971 27688],28,2,False,0.0,0.0
24,25,0,[13524 22495 40041  8973],17,1,False,0.0,0.0
25,26,0,[41210 32525 48896  2209],34,3,True,4.112314701080322,1.38615083694458
26,27,0,[21944 47815  3949 31804],1,3,False,0.0,0.0
27,28,0,[36870  1707 19304  1962],15,3,False,0.0,0.0
28,29,0,[ 7367 43738 32194 45638],27,3,True,4.10799503326416,1.386278510093689
29,30,0,[14478  3773 35191 15203],24,1,False,0.0,0.0
0,31,1,[40226 11510  6632 49574],13,3,True,3.909510612487793,1.3863186836242676
1,32,1,[51906 13560 38123 48006],42,1,True,3.9246203899383545,1.38617742061615
2,33,1,[12310  3661 36527 15410],28,0,False,0.0,0.0
3,34,1,[37797 40502 39133 38888],3,0,False,0.0,0.0
4,35,1,[34387 48504 26630 24774],48,2,True,3.950773239135742,1.3863328695297241
5,36,1,[40725 47702  8935 31761],1,3,False,0.0,0.0
6,37,1,[ 5648  4180 40133 42748],44,1,False,0.0,0.0
7,38,1,[50100 29121 26504 41665],12,2,False,0.0,0.0
8,39,1,[42742 40982 40649 51387],22,2,True,4.026613712310791,1.387033462524414
9,40,1,[13138  3192 14426 37852],9,0,False,0.0,0.0
10,41,1,[28990 18216 25199 17802],18,3,False,0.0,0.0
11,42,1,[39350 47424 27222  8196],24,1,True,4.085754871368408,1.3857083320617676
12,43,1,[23192 24182  9078  1171],18,1,True,4.08466100692749,1.3857194185256958
13,44,1,[ 6550  2045 26436 36904],38,1,False,0.0,0.0
14,45,1,[  456  7991 22962 16431],5,2,False,0.0,0.0
15,46,1,[29278 14268 43879 32203],30,2,True,4.117303848266602,1.3873664140701294
16,47,1,[ 1614 11920 43561  8993],25,3,False,0.0,0.0
17,48,1,[ 5041 28145   713 27407],36,2,False,0.0,0.0
18,49,1,[24615 40380 22801 49889],30,1,False,0.0,0.0
19,50,1,[30320    66  4533 21843],29,2,False,0.0,0.0
20,51,1,[ 6529 22981  5131 49873],44,2,True,4.093611240386963,1.386132001876831
21,52,1,[35202 49337 45439 28318],41,0,False,0.0,0.0
22,53,1,[49762   495 40569 48028],36,0,True,4.0531005859375,1.386658787727356
23,54,1,[33059 22464 32469 13038],31,1,False,0.0,0.0
24,55,1,[13524 48104 34575 48203],49,1,False,0.0,0.0
25,56,1,[33269 38243 34392 12613],29,2,True,4.045593738555908,1.3856076002120972
26,57,1,[13899   413 24503 43805],39,1,False,0.0,0.0
27,58,1,[ 6916 12796 31695 33408],48,3,False,0.0,0.0
28,59,1,[12905 36066 47891 40654],37,2,False,0.0,0.0
29,60,1,[32373 22635  7611 17265],16,1,False,0.0,0.0
0,61,0,[38084 24064 45517 18087],12,2,False,0.0,0.0
1,62,0,[51618  5114 41514  6232],38,2,False,0.0,0.0
2,63,0,[ 1908 49107 45604 43884],0,3,False,0.0,0.0
3,64,0,[32511 44770 20225 39337],31,0,False,0.0,0.0
4,65,0,[26413 52423 48842 49539],13,3,False,0.0,0.0
5,66,0,[ 4031 24349  5278 11662],48,0,False,0.0,0.0
6,67,0,[ 8155 16975   668 42668],40,2,True,4.010946273803711,1.3865456581115723
7,68,0,[18115 49659 47880 45754],31,0,True,3.9919345378875732,1.3863319158554077
8,69,0,[18837 19167 26666 31051],28,2,True,3.9777164459228516,1.3865907192230225
9,70,0,[41692 39006 34105 29603],17,2,False,0.0,0.0
10,71,0,[47190 23753 30855  9953],40,1,False,0.0,0.0
11,72,0,[26496  2661 36683  5437],33,1,False,0.0,0.0
12,73,0,[ 1378 20590  9075 33360],20,0,False,0.0,0.0
13,74,0,[21310 46995 15190 14625],6,1,True,3.984846591949463,1.3868002891540527
14,75,0,[ 2147 24593  6205 52044],34,3,True,3.7433857917785645,1.369766116142273
15,76,0,[40464 30790 27089  9904],0,0,False,0.0,0.0
16,77,0,[15331 37012 10084 41939],23,0,True,3.9735219478607178,1.3861554861068726
17,78,0,[47768 41030 38206  8016],46,3,False,0.0,0.0
18,79,0,[  610 11472 20330 29321],2,3,False,0.0,0.0
19,80,0,[ 1345 39734 37611  7799],36,0,False,0.0,0.0
20,81,0,[  745  6864 30344 37146],1,2,False,0.0,0.0
21,82,0,[45989 38716 13590 18364],6,2,False,0.0,0.0
22,83,0,[ 7537 16607 44089  7014],13,1,True,4.001253128051758,1.38638174533844
23,84,0,[46522 23942  6933 39057],45,0,True,3.991834878921509,1.3863929510116577
24,85,0,[27586 47613 26109 21867],41,2,False,0.0,0.0
25,86,0,[14423 32513 18622 26250],11,0,True,3.9796435832977295,1.3866612911224365
26,87,0,[44397 29269 15372 33711],24,0,False,0.0,0.0
27,88,0,[13947  6785  1271 48764],0,0,True,3.9807863235473633,1.3879395723342896
28,89,0,[22672 10436 20030 32751],24,0,True,3.671492099761963,1.391433596611023
29,90,0,[ 5881  1737 28076 12454],40,2,True,3.8136541843414307,1.5322766304016113
0,91,1,[ 1773 25340 23870 48308],32,3,False,0.0,0.0
1,92,1,[ 5857 18718 22019 49423],22,1,True,3.760244846343994,1.3922702074050903
2,93,1,[38953 46769 12739 29307],2,3,False,0.0,0.0
3,94,1,[ 5902   871 35259 12940],8,0,False,0.0,0.0
4,95,1,[48485  9373 15957 20029],48,0,True,3.7083003520965576,1.7210707664489746
5,96,1,[32124   515 46873 44203],11,3,False,0.0,0.0
6,97,1,[51747  8017 25919  5319],9,2,True,3.9816739559173584,1.385930061340332
7,98,1,[43544 22495 30322 19901],42,3,False,0.0,0.0
8,99,1,[22703 35973 32747 24822],4,0,False,0.0,0.0
9,100,1,[17050 37931 39996 10538],17,3,False,0.0,0.0
10,101,1,[32171 16523  8416 39417],24,3,False,0.0,0.0
11,102,1,[42389 15227  9950 23772],39,3,True,3.975951671600342,1.3859143257141113
12,103,1,[ 4306 31965 19985 28055],46,0,False,0.0,0.0
13,104,1,[ 3729 28717 18773 51126],9,3,False,0.0,0.0
14,105,1,[21376 15623  2571 50197],30,0,False,0.0,0.0
15,106,1,[ 1740 11816 49122  5113],2,2,False,0.0,0.0
16,107,1,[41439 14211  6929 38160],36,3,False,0.0,0.0
17,108,1,[13110 10184 36405 51651],24,1,False,0.0,0.0
18,109,1,[12382 44769 15937 52094],23,2,False,0.0,0.0
19,110,1,[25442 17088 16414  4791],10,0,False,0.0,0.0
20,111,1,[35641 49293 14970 32356],30,0,False,0.0,0.0
21,112,1,[ 6050 49732 49388  1595],29,3,False,0.0,0.0
22,113,1,[38120 25611 52070 48955],12,0,False,0.0,0.0
23,114,1,[17048  8409  6583 29261],49,3,True,4.014352798461914,1.3855392932891846
24,115,1,[37139  2884 20273 52280],37,1,False,0.0,0.0
25,116,1,[14579 20233  9088 35749],4,3,False,0.0,0.0
26,117,1,[51566 31296 37406 34364],5,2,False,0.0,0.0
27,118,1,[24295 15722 43676 45156],15,3,False,0.0,0.0
28,119,1,[ 5707 18472 42108 32140],39,3,True,3.8812875747680664,1.4651870727539062
29,120,1,[ 4647 24901 11827 17799],48,2,False,0.0,0.0
