,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss,sender_loss_2,receiver_loss_2
0,1,0,[29623  5615 20554  8062],38,1,False,0.0,0.0,0.0,0.0
1,2,0,[29358 17637 50657  9719],6,3,False,0.0,0.0,0.0,0.0
2,3,0,[51799 29082 41697  3976],17,0,False,0.0,0.0,0.0,0.0
3,4,0,[15716 18105 11742 32546],14,1,False,0.0,0.0,0.0,0.0
4,5,0,[48118 20060 38097 19063],37,2,True,3.9161124229431152,1.3863165378570557,3.908615827560425,1.3854902982711792
5,6,0,[33911 34450 25463 19752],17,3,False,0.0,0.0,0.0,0.0
6,7,0,[12088 32996 11546 35743],2,1,False,0.0,0.0,0.0,0.0
7,8,0,[23328  6485 34677  3035],9,0,True,3.9137048721313477,1.3863731622695923,3.9194304943084717,1.3852097988128662
8,9,0,[ 7549  1307 18098 21267],33,1,False,0.0,0.0,0.0,0.0
9,10,0,[30052 45675 29333  1913],18,1,False,0.0,0.0,0.0,0.0
10,11,0,[43013 31672 32480 31254],24,1,False,0.0,0.0,0.0,0.0
11,12,0,[ 9650 13190 34796  4222],27,3,True,3.932872772216797,1.386321783065796,3.9749789237976074,1.3857015371322632
12,13,0,[ 1593 27167 38345 14987],33,3,False,0.0,0.0,0.0,0.0
13,14,0,[23597 29300   871 11184],18,2,False,0.0,0.0,0.0,0.0
14,15,0,[43280 29989 19877 52485],48,0,True,3.9845266342163086,1.3864643573760986,4.027060508728027,1.387428641319275
15,16,0,[ 9382 14948 21595 47147],40,0,False,0.0,0.0,0.0,0.0
16,17,0,[ 7248 26937 28088 16329],6,2,False,0.0,0.0,0.0,0.0
17,18,0,[45707 30995 16826 42087],34,0,False,0.0,0.0,0.0,0.0
18,19,0,[ 1276 35080 30058 13859],16,0,False,0.0,0.0,0.0,0.0
19,20,0,[  624 13065  4747  2925],3,3,False,0.0,0.0,0.0,0.0
20,21,0,[17172  5351 16574   459],12,2,True,4.052462577819824,1.386334776878357,4.136807918548584,1.3863219022750854
21,22,0,[26228 45721 19554 39378],43,1,True,4.042660236358643,1.3862732648849487,4.107491970062256,1.3863353729248047
22,23,0,[ 4501 24026  3108  6182],24,3,False,0.0,0.0,0.0,0.0
23,24,0,[37260 24349 33001 42669],34,1,False,0.0,0.0,0.0,0.0
24,25,0,[49963 37354  2099 16558],14,3,False,0.0,0.0,0.0,0.0
25,26,0,[52169 14138 35375 20947],35,3,False,0.0,0.0,0.0,0.0
26,27,0,[23014 50616 40091 45176],44,3,False,0.0,0.0,0.0,0.0
27,28,0,[44240 25576 38498 40704],27,0,False,0.0,0.0,0.0,0.0
28,29,0,[ 9003 52278 51778 30340],36,1,False,0.0,0.0,0.0,0.0
29,30,0,[ 8927 34847 30290 31520],4,0,True,4.069489479064941,1.3864175081253052,4.053851127624512,1.3856767416000366
0,31,1,[51698 16005 50330 21387],38,1,False,0.0,0.0,0.0,0.0
1,32,1,[19954 20612 39386 19760],8,1,False,0.0,0.0,0.0,0.0
2,33,1,[14410 35344 51398 43233],18,3,False,0.0,0.0,0.0,0.0
3,34,1,[10941 11464  1036 45809],9,2,False,0.0,0.0,0.0,0.0
4,35,1,[41336 34545  5513 11620],35,3,False,0.0,0.0,0.0,0.0
5,36,1,[ 3313 32008 19114 42407],47,3,False,0.0,0.0,0.0,0.0
6,37,1,[19258  6557 13356 34156],22,0,True,4.0143656730651855,1.3866790533065796,4.035401821136475,1.386051058769226
7,38,1,[38237 25117 48846  3468],48,0,False,0.0,0.0,0.0,0.0
8,39,1,[19703 14564 42133 21193],38,0,True,3.979926347732544,1.3871784210205078,4.037768363952637,1.3857958316802979
9,40,1,[27617 34739 15800 15887],29,1,True,3.9791665077209473,1.3865962028503418,4.009338855743408,1.385725975036621
10,41,1,[22352  7835 28524  7768],10,3,False,0.0,0.0,0.0,0.0
11,42,1,[ 1684 41788 23436 11711],44,1,False,0.0,0.0,0.0,0.0
12,43,1,[ 1528 42975 50154 26004],7,2,False,0.0,0.0,0.0,0.0
13,44,1,[18706 35045 24040 25156],16,3,True,3.959216356277466,1.3849236965179443,4.004241943359375,1.3866046667099
14,45,1,[ 6546 30700  1450 47768],14,1,False,0.0,0.0,0.0,0.0
15,46,1,[  721 30105 44264 41038],30,2,False,0.0,0.0,0.0,0.0
16,47,1,[ 9157 23669 12395   242],37,2,True,3.5886008739471436,1.3722683191299438,3.414818286895752,1.3819602727890015
17,48,1,[34530  6252 45921 20175],48,2,False,0.0,0.0,0.0,0.0
18,49,1,[ 1621 13076 43246 43745],24,3,True,3.9746148586273193,1.3856899738311768,4.037454128265381,1.3862438201904297
19,50,1,[ 9491  4503 27299 34141],12,2,False,0.0,0.0,0.0,0.0
20,51,1,[  225 23284  8204 13027],0,2,False,0.0,0.0,0.0,0.0
21,52,1,[40018  3469 46342 19889],31,3,False,0.0,0.0,0.0,0.0
22,53,1,[23102 29903  2359 13903],8,0,True,3.9741313457489014,1.386208176612854,4.013401031494141,1.3860528469085693
23,54,1,[45799 11236 14675 19707],38,3,True,3.846461296081543,1.3742635250091553,3.7167584896087646,1.2349011898040771
24,55,1,[51998 30122  7488 10457],21,1,False,0.0,0.0,0.0,0.0
25,56,1,[38967  3595 41923 39098],10,0,False,0.0,0.0,0.0,0.0
26,57,1,[51900 45891 19979 49554],36,3,True,3.9661762714385986,1.3871439695358276,4.006217002868652,1.3860217332839966
27,58,1,[10649 26325   909 14014],43,3,False,0.0,0.0,0.0,0.0
28,59,1,[46059 47962 33711    39],18,3,False,0.0,0.0,0.0,0.0
29,60,1,[22725 10835 47675 11535],17,0,False,0.0,0.0,0.0,0.0
0,61,0,[46615   418 35010 35733],44,2,False,0.0,0.0,0.0,0.0
1,62,0,[14650 32723 40839 18220],27,2,True,3.607281446456909,1.3825414180755615,3.5047736167907715,1.3556954860687256
2,63,0,[38584 45531     7 21460],48,1,True,3.5596232414245605,1.3741849660873413,3.4517159461975098,1.45017409324646
3,64,0,[15311 49338 42816 41529],44,2,False,0.0,0.0,0.0,0.0
4,65,0,[49493  6647 46830  9976],11,1,False,0.0,0.0,0.0,0.0
5,66,0,[49439 23490 32446 25353],32,3,False,0.0,0.0,0.0,0.0
6,67,0,[22368 32580 47133 16115],43,2,True,3.560467481613159,1.2935903072357178,3.5108282566070557,1.6977356672286987
7,68,0,[14916 43180 10407  3454],0,3,False,0.0,0.0,0.0,0.0
8,69,0,[30803 10724 29101 33607],2,0,True,4.136857032775879,1.387337327003479,4.12280797958374,1.3863320350646973
9,70,0,[29357 15708 24487 22858],28,2,False,0.0,0.0,0.0,0.0
10,71,0,[46974 39690 52054 49397],34,2,False,0.0,0.0,0.0,0.0
