wn_id,wn_name,mcrae_name,broad_concept
n02672831,accordion,accordion,musical_instrument
n02691156,airplane,airplane,vehicle
n01698434,alligator,alligator,reptile
n02701002,ambulance,ambulance,vehicle
n02709367,anchor,anchor,tool
n02219486,ant,ant,insect
n02726305,apartment,apartment,room
n07739125,apple,apple,fruit
n02730930,apron,apron,clothing
n02747802,ashtray,ashtray,tool
n07719213,asparagus,asparagus,vegetable
n07764847,avocado,avocado,fruit
n02774152,bag,bag,container
n02775483,bagpipe,bagpipe,musical_instrument
n02779435,ball,ball,tool
n02782093,balloon,balloon,vehicle
n12352287,banana,banana,fruit
n02787622,banjo,banjo,musical_instrument
n02788021,banner,banner,NONE
n02793495,barn,barn,building
n13901211,barrel,barrel,container
n02800497,basement,basement,room
n02802215,basket,basket,container
n02806379,bat,bat_(animal),tool
n02808440,bathtub,bathtub,furniture
n02809605,baton,baton,tool
n02812949,bayonet,bayonet,weapon
n02813752,bazooka,bazooka,weapon
n07881625,refried beans,beans,vegetable
n02131653,bear,bear,mammal
n02363005,beaver,beaver,mammal
n02818832,bed,bed,furniture
n02821627,bedroom,bedroom,room
n02822865,beehive,beehive,NONE
n02164464,beetle,beetle,insect
n02827606,belt,belt,clothing
n02828884,bench,bench,NONE
n04026813,push-bike,bike,vehicle
n02839910,bin,bin_(waste),container
n12281241,birch,birch,plant
n07693972,biscuit,biscuit,food
n02410509,bison,bison,mammal
n01558594,blackbird,blackbird,bird
n02850732,blender,blender,appliance
n02854926,blouse,blouse,clothing
n07743544,blueberry,blueberry,fruit
n03033986,circuit board,board_(black),appliance
n02858304,boat,boat,vehicle
n02866578,bomb,bomb,weapon
n02870526,book,book,NONE
n02870880,bookcase,bookcase,furniture
n02877266,bottle,bottle,container
n02879087,bouquet,bouquet,NONE
n13896100,bow,bow_(ribbon),building
n02880940,bowl,bowl,container
n02883344,box,box,container
n02887970,bracelet,bracelet,fashion_accessory
n07679356,bread,bread,food
n02897820,brick,brick,NONE
n02898711,bridge,bridge,building
n07714990,broccoli,broccoli,vegetable
n02906734,broom,broom,tool
n02908217,brush,brush,tool
n02909870,bucket,bucket,container
n02910353,buckle,buckle,fashion_accessory
n02409508,Cape buffalo,buffalo,mammal
n02912557,buggy,buggy,vehicle
n02913152,building,building,building
n02403325,bull,bull,mammal
n02916350,bullet,bullet,weapon
n02919792,bungalow,bungalow,building
n02924116,bus,bus,vehicle
n02274259,butterfly,butterfly,insect
n01607962,buzzard,buzzard,bird
n11875691,cabbage,cabbage,vegetable
n02932400,cabin,cabin,building
n02933112,cabinet,cabinet,furniture
n02936714,cage,cage,container
n07631926,ice-cream cake,cake,food
n01887896,calf,calf,mammal
n02437136,camel,camel,mammal
n02944075,camisole,camisole,clothing
n01533339,canary,canary,bird
n02948072,candle,candle,NONE
n02950632,cannon,cannon,weapon
n02951358,canoe,canoe,vehicle
n12164656,cantaloupe,cantaloupe,fruit
n12428076,Turk's-cap,cap_(bottle),plant
n02955767,cape,cape,clothing
n02958343,car,car,vehicle
n02963302,card index,card_(greeting),furniture
n02433925,caribou,caribou,mammal
n04066270,red carpet,carpet,furniture
n07730207,carrot,carrot,vegetable
n02970849,cart,cart,vehicle
n02121620,cat,cat,mammal
n02981911,catapult,catapult,weapon
n02309337,caterpillar,caterpillar,insect
n02517442,catfish,catfish,fish
n02984203,cathedral,cathedral,building
n07715103,cauliflower,cauliflower,vegetable
n11623105,cedar,cedar,plant
n07730406,celery,celery,vegetable
n02991847,cellar,cellar,room
n02992211,cello,cello,musical_instrument
n08376250,chain,chain,NONE
n03002096,chair,chair,furniture
n03005285,chandelier,chandelier,furniture
n03007130,chapel,chapel,building
n07850329,cheese,cheese,food
n02130308,cheetah,cheetah,mammal
n07757132,cherry,cherry,fruit
n01592084,chickadee,chickadee,bird
n01791625,chicken,chicken,bird
n02360282,chipmunk,chipmunk,mammal
n03020692,chisel,chisel,tool
n03028079,church,church,building
n03031422,cigar lighter,cigar,tool
n03030880,cigarette butt,cigarette,NONE
n01956481,clam,clam,fish
n03036866,clamp,clamp,tool
n03037709,clarinet,clarinet,musical_instrument
n03045337,cloak,cloak,clothing
n03046257,clock,clock,appliance
n03049457,closet,closet,furniture
n03057021,coat,coat,clothing
n02233338,cockroach,cockroach,insect
n12587803,coconut,coconut,fruit
n02522399,cod,cod,fish
n03066464,coin box,coin,container
n03066849,colander,colander,tool
n03074855,comb,comb,tool
n03108853,cork,cork,NONE
n03109150,corkscrew,corkscrew,tool
n12144580,corn,corn,vegetable
n11809594,cottage pink,cottage,plant
n03115762,couch,couch,furniture
n02125311,cougar,cougar,mammal
n01887787,cow,cow,mammal
n02114855,coyote,coyote,mammal
n01976957,crab,crab,fish
n07743902,cranberry,cranberry,fruit
n03126707,crane,crane_(machine),appliance
n03128248,crayon,crayon,NONE
n01697178,crocodile,crocodile,reptile
n03136369,crossbow,crossbow,weapon
n01579028,crow,crow,bird
n03138344,crowbar,crowbar,tool
n03138669,crown,crown,NONE
n07718472,cucumber,cucumber,vegetable
n03147509,cup,cup,container
n03148324,cupboard,cupboard,furniture
n02687682,air cushion,cushion,NONE
n03158885,dagger,dagger,weapon
n12024176,dandelion,dandelion,plant
n02430045,deer,deer,mammal
n03179701,desk,desk,furniture
n03206908,dish,dish,container
n03207941,dishwasher,dishwasher,appliance
n02084071,dog,dog,mammal
n03219135,doll,doll,toy
n02068974,dolphin,dolphin,mammal
n03221540,donkey jacket,donkey,mammal
n03221720,door,door,NONE
n01812337,dove,dove,bird
n03232543,drain basket,drain,container
n03236735,dress,dress,clothing
n03237340,dresser,dresser,furniture
n03239726,drill,drill,tool
n03249569,drum,drum,musical_instrument
n01846331,duck,duck,bird
n01613294,eagle,eagle,bird
n02526121,eel,eel,fish
n07713074,eggplant,eggplant,vegetable
n02503517,elephant,elephant,mammal
n03281145,elevator,elevator,appliance
n02432983,elk,elk,mammal
n04968056,emerald,emerald,NONE
n01519873,emu,emu,bird
n13869788,envelope,envelope,container
n01610955,falcon,falcon,bird
n03320046,fan,fan_(appliance),appliance
n03325088,faucet,faucet,appliance
n02430830,fawn,fawn,mammal
n03327234,fence,fence,NONE
n01529672,finch,finch,bird
n02007558,flamingo,flamingo,bird
n02186153,flea,flea,insect
n03372029,flute,flute,musical_instrument
n00468480,football,football,NONE
n03384167,fork,fork,tool
n02118333,fox,fox,mammal
n01639765,frog,frog,reptile
n03416489,garage,garage,building
n07818277,garlic,garlic,vegetable
n03427296,gate,gate,NONE
n02439033,giraffe,giraffe,mammal
n02416519,goat,goat,mammal
n01443537,goldfish,goldfish,fish
n01855672,goose,goose,bird
n02353861,gopher,gopher,mammal
n02480855,gorilla,gorilla,mammal
n03450230,gown,gown,clothing
n07758680,grape,grape,fruit
n07749969,grapefruit,grapefruit,fruit
n02226429,grasshopper,grasshopper,insect
n03454885,grater,grater,tool
n03458271,grenade,grenade,weapon
n02361587,groundhog,groundhog,mammal
n03467517,guitar,guitar,musical_instrument
n03467984,gun,gun,weapon
n01448594,guppy,guppy,fish
n03481172,hammer,hammer,tool
n02342885,hamster,hamster,mammal
n02326432,hare,hare,mammal
n03494278,harmonica,harmonica,musical_instrument
n03495258,harp,harp,musical_instrument
n03495671,harpoon,harpoon,weapon
n03496296,harpsichord,harpsichord,musical_instrument
n03498962,hatchet,hatchet,tool
n01605630,hawk,hawk,bird
n03512147,helicopter,helicopter,vehicle
n03513137,helmet,helmet,clothing
n03524574,hoe,hoe,tool
n07756325,honeydew,honeydew,fruit
n03532672,hook,hook,tool
n02213107,hornet,hornet,insect
n02374451,horse,horse,mammal
n03540090,hose,hose,tool
n03544360,house,house,building
n02190790,housefly,housefly,insect
