,sender_name,receiver_name,active_images,target_image,chosen_symbol,chosen_symbol_p,chosen_image,chosen_image_p,chosen_image_index,success
0,01.sender,02.receiver,1302:513:1222:389,1302,0,0.24739764630794525,513,0.5156904458999634,0,0
1,01.sender,02.receiver,2122:1217:1333:2012,2122,2,0.720269501209259,2122,0.6031010746955872,3,1
2,01.sender,02.receiver,1207:200:1211:748,1207,0,0.4520418643951416,1211,0.9044573903083801,3,0
3,01.sender,02.receiver,1087:1292:956:1295,1087,0,0.8316226601600647,1087,0.6373737454414368,3,1
4,01.sender,02.receiver,1996:1579:363:1204,1996,5,0.5598560571670532,363,0.49533259868621826,1,0
5,01.sender,02.receiver,674:1873:2114:990,674,2,0.3463525176048279,2114,0.9071009159088135,3,0
6,01.sender,02.receiver,1507:490:1281:646,1507,8,0.9993120431900024,1507,0.9999607801437378,2,1
7,01.sender,02.receiver,1086:1967:1949:1275,1086,0,0.3047589957714081,1086,0.33681192994117737,2,1
8,01.sender,02.receiver,656:887:2146:1970,656,0,0.9915183186531067,656,0.6318557858467102,1,1
9,01.sender,02.receiver,53:1834:1777:2010,53,8,0.6211912035942078,53,0.9780262112617493,3,1
10,01.sender,02.receiver,1838:2123:938:1279,1838,0,0.9917735457420349,1838,0.9529902338981628,0,1
11,01.sender,02.receiver,1098:971:1081:274,1098,7,0.1687300056219101,1098,0.3047541379928589,2,1
12,01.sender,02.receiver,1545:719:1228:1299,1545,8,0.851928174495697,1545,0.9953113198280334,1,1
13,01.sender,02.receiver,1915:823:30:1988,1915,0,0.6347699761390686,1915,0.8761112093925476,1,1
14,01.sender,02.receiver,1984:1320:871:891,1984,5,0.9974476099014282,1984,0.9771829843521118,1,1
15,01.sender,02.receiver,288:744:648:1521,288,5,0.8729316592216492,288,0.602876603603363,0,1
16,01.sender,02.receiver,921:1940:427:274,921,8,0.42508116364479065,921,0.46741726994514465,0,1
17,01.sender,02.receiver,2071:1050:1325:208,2071,2,0.5781258344650269,2071,0.7124658226966858,0,1
18,01.sender,02.receiver,214:1184:1834:751,214,0,0.7249922156333923,214,0.922805666923523,3,1
19,01.sender,02.receiver,1870:1619:748:1063,1870,0,0.2752063274383545,1619,0.49302029609680176,2,0
20,01.sender,02.receiver,1499:524:294:2179,1499,8,0.8312001824378967,1499,0.9538631439208984,1,1
21,01.sender,02.receiver,488:1169:5:2138,488,5,0.7304962873458862,488,0.6445767283439636,3,1
22,01.sender,02.receiver,859:1089:1976:1827,859,2,0.8965011835098267,859,0.9499480128288269,3,1
23,01.sender,02.receiver,970:1356:2106:1164,970,8,0.8036707043647766,970,0.5769280195236206,2,1
24,01.sender,02.receiver,1351:1836:359:453,1351,8,0.7142849564552307,359,0.5821818113327026,1,0
25,01.sender,02.receiver,1218:1579:1711:1437,1218,2,0.3236328065395355,1218,0.537661612033844,2,1
26,01.sender,02.receiver,557:858:967:168,557,9,0.29618921875953674,168,0.4385342597961426,1,0
27,01.sender,02.receiver,584:533:1703:791,584,0,0.9235989451408386,584,0.49464860558509827,1,1
