,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_std
0,train,models/local_only,False,200904-031620-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.22000000000000003,3.0,3.893584466786357
1,train,models/local_only,False,200904-031815-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,,,0.2775,2.5,4.418144406874904
0,train,models/local_only,False,200904-032058-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.3575,4.0,2.835489375751565
1,train,models/local_only,False,200904-033354-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,,,0.22999999999999998,4.0,3.3166247903554
2,train,models/local_only,False,200904-033648-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,False,True,softmax,True,,,0.2325,3.0,3.714835124201342
3,train,models/local_only,False,200904-034046-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,True,softmax,True,33140,,0.6549999999999999,3.0,4.034848200366403
4,train,models/local_only,False,200904-040359-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,agnostic,40,binary_crossentropy,sample,linear,False,False,softmax,True,,,0.26749999999999996,0.0,10.34987922634849
5,train,models/local_only,False,200904-040748-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,agnostic,40,binary_crossentropy,sample,linear,True,False,softmax,True,,,0.27249999999999996,0.0,13.588230201170422
6,train,models/local_only,False,200904-041058-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,agnostic,40,binary_crossentropy,sample,linear,False,True,softmax,True,,,0.24749999999999997,0.0,9.374433316206371
7,train,models/local_only,False,200904-041347-swi-4-gib-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,agnostic,40,binary_crossentropy,sample,linear,True,True,softmax,True,,,0.26999999999999996,0.0,16.31318485152424
8,train,models/local_only,False,200904-042027-swi-4-non-50-40,switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,none,0.0,informed,40,binary_crossentropy,sample,linear,False,False,softmax,True,21200,,0.6525000000000001,0.0,9.564517760974674
