,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_mean,symbol_histogram_std
0,train,models/local_only,False,200822-005531-swi-inf-2-Fal-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,8670,11070,0.9000000000000001,0.0,20.0,24.79919353527449
1,train,models/local_only,False,200822-005928-swi-inf-2-Fal-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,False,0.0,informed,20,binary_crossentropy,sample,linear,False,True,softmax,True,11430,14370,0.9016666666666667,0.0,20.0,25.12369399590753
2,train,models/local_only,False,200822-010435-swi-inf-2-Fal-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,False,0.0,informed,20,binary_crossentropy,sample,linear,True,False,softmax,True,7260,10440,0.9049999999999999,0.0,20.0,40.00249992187988
3,train,models/local_only,False,200822-010819-swi-inf-2-Fal-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,False,0.0,informed,20,binary_crossentropy,sample,linear,True,True,softmax,True,7740,8910,0.9000000000000001,0.0,20.0,40.00249992187988
4,train,models/local_only,False,200822-011130-swi-inf-2-gib-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,45630,54330,0.9,20.5,20.0,6.016643582596529
5,train,models/local_only,False,200822-013128-swi-inf-2-gib-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,False,True,softmax,True,36210,45720,0.9033333333333333,20.5,20.0,7.5099933422074345
6,train,models/local_only,False,200822-014820-swi-inf-2-gib-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,False,softmax,True,23070,29430,0.9,17.5,20.0,14.53272169966796
7,train,models/local_only,False,200822-015910-swi-inf-2-gib-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,2,gibbs,0.1,informed,20,binary_crossentropy,sample,linear,True,True,softmax,True,29220,36660,0.9016666666666667,19.0,20.0,12.68857754044952
8,train,models/local_only,False,200822-021244-swi-inf-4-Fal-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,informed,20,binary_crossentropy,sample,linear,False,False,softmax,True,13650,22380,0.6583333333333332,24.5,20.0,17.15225932639779
9,train,models/local_only,False,200822-022114-swi-inf-4-Fal-sof,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,10,50,4,False,0.0,informed,20,binary_crossentropy,sample,linear,False,True,softmax,True,15000,19980,0.6599999999999999,24.5,20.0,13.386560424545209
