,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_std
0,train,models/local_only,False,200903-163043-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,26490,52350,0.7249999999999999,0.0,14.583552379307314
1,train,models/local_only,False,200903-165131-swi-4-gib-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,,,0.40666666666666673,2.5,4.458699361921591
2,train,models/local_only,False,200903-172120-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,sigmoid,True,36210,39600,0.7266666666666668,0.0,9.736529155710468
3,train,models/local_only,False,200903-173726-swi-4-Fal-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,46860,,0.6908333333333333,0.0,15.188153278130953
4,train,models/local_only,False,200903-175514-swi-4-gib-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,,,0.4041666666666667,2.0,5.2839379254491625
5,train,models/local_only,False,200903-181318-swi-4-Fal-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,sigmoid,True,71640,,0.6291666666666667,0.0,13.332666649999167
6,train,models/local_only,False,200903-183103-swi-4-Fal-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,15540,31410,0.7299999999999999,0.0,15.840454538932903
7,train,models/local_only,False,200903-185341-swi-4-gib-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,,,0.41000000000000003,2.0,4.237924020083418
8,train,models/local_only,False,200903-194820-swi-4-Fal-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,sigmoid,True,39600,42510,0.7300000000000001,0.0,10.135087567455942
9,train,models/local_only,False,200903-201913-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,False,True,softmax,True,19590,26490,0.725,0.0,9.008884503644166
