,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,model_type,save_learning_curves,early_stopping,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_std
0,train,models/local_only,False,200914-090500-fix-2-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,,,0.49833333333333335,0.0,28.0
1,train,models/local_only,False,200914-091636-fix-2-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,8160,11700,0.9649999999999999,0.0,19.64586470481765
2,train,models/local_only,False,200914-092802-fix-2-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,5610,6900,0.9666666666666665,0.0,19.767650340897877
3,train,models/local_only,False,200914-093924-fix-2-non-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,12510,14760,0.9633333333333333,0.0,19.605101376937586
4,train,models/local_only,False,200914-095051-fix-2-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,25620,,0.8733333333333334,0.0,7.871467461661771
5,train,models/local_only,False,200914-100224-fix-2-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,24060,,0.9099999999999999,0.0,12.286578042726136
6,train,models/local_only,False,200914-101406-fix-2-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,29100,,0.9333333333333333,0.0,10.734989520255713
7,train,models/local_only,False,200914-102611-fix-2-gib-50-20,fixed,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,gibbs,0.1,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,27690,,0.8783333333333335,0.0,12.36931687685298
8,train,models/local_only,False,200914-103829-swi-2-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,False,softmax,False,old,True,False,20310,23430,0.9366666666666665,0.0,13.714226190347015
9,train,models/local_only,False,200914-105145-swi-2-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,False,softmax,False,old,True,False,15210,19200,0.9566666666666667,0.0,16.853486286225767
10,train,models/local_only,False,200914-110342-swi-2-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,False,True,softmax,False,old,True,False,,,0.7283333333333334,0.0,17.6136310850432
11,train,models/local_only,False,200914-111540-swi-2-non-50-20,switch,30000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,2,none,0.0,informed,20,binary_crossentropy,last,linear,True,True,softmax,False,old,True,False,15540,17550,0.9666666666666668,0.0,13.674794331177344
