,mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed,goal1_reached,goal2_reached,final_success_rate,symbol_histogram_median,symbol_histogram_mean,symbol_histogram_std
0,train,models/local_only,False,200822-233110-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,18870,23940,0.6599999999999999,0.0,4.0,14.04421589124861
1,train,models/local_only,False,200822-234057-swi-4-gib-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,47460,55500,0.6566666666666665,2.5,4.0,4.604345773288535
2,train,models/local_only,False,200823-000318-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,sigmoid,True,26640,29760,0.6583333333333333,0.0,4.0,12.885650934275692
3,train,models/local_only,False,200823-001508-swi-4-Fal-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,25320,33000,0.6583333333333334,0.0,4.0,15.463505424062165
4,train,models/local_only,False,200823-002306-swi-4-gib-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,67980,,0.5983333333333334,1.0,4.0,5.230678732248808
5,train,models/local_only,False,200823-004133-swi-4-Fal-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,sigmoid,True,46560,52020,0.6575,0.0,4.0,12.87944098165755
6,train,models/local_only,False,200823-005406-swi-4-Fal-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,8730,14205,0.6633333333333332,0.0,4.0,14.80945643837072
7,train,models/local_only,False,200823-010422-swi-4-gib-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,True,False,softmax,True,25170,32970,0.6633333333333332,2.0,4.0,4.979959839195493
8,train,models/local_only,False,200823-012836-swi-4-Fal-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,True,False,sigmoid,True,17310,20595,0.6666666666666664,0.0,4.0,11.44901742508937
9,train,models/local_only,False,200823-014332-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,False,True,softmax,True,14130,20340,0.6649999999999998,0.0,4.0,9.58331884056875
10,train,models/local_only,False,200823-015143-swi-4-gib-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,False,True,softmax,True,22500,32340,0.663333333333333,3.5,4.0,4.0743097574926725
11,train,models/local_only,False,200823-020459-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,False,True,sigmoid,True,36810,43320,0.6566666666666665,0.0,4.0,8.155979401641472
12,train,models/local_only,False,200823-022235-swi-4-Fal-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,False,True,softmax,True,28680,36900,0.6575000000000001,0.0,4.0,10.307278981380101
13,train,models/local_only,False,200823-023142-swi-4-gib-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,False,True,softmax,True,61140,72780,0.6625,4.0,4.0,3.026549190084311
14,train,models/local_only,False,200823-025001-swi-4-Fal-50-40,switch,75000,60,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,False,True,sigmoid,True,47880,56160,0.6583333333333332,0.0,4.0,11.3754120804479
15,train,models/local_only,False,200823-030357-swi-4-Fal-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,False,True,softmax,True,11160,12120,0.6566666666666665,0.0,4.0,10.459445491994305
16,train,models/local_only,False,200823-031250-swi-4-gib-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,False,True,softmax,True,26085,34920,0.6566666666666665,3.0,4.0,3.7841775856849003
17,train,models/local_only,False,200823-033857-swi-4-Fal-50-40,switch,75000,15,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,binary_crossentropy,sample,linear,False,True,sigmoid,True,21465,24465,0.6566666666666666,0.0,4.0,6.764613810115105
18,train,models/local_only,False,200823-035705-swi-4-Fal-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,False,0.0,informed,40,mse,sample,linear,True,False,softmax,True,17340,28170,0.6583333333333332,0.0,4.0,15.832877186411825
19,train,models/local_only,False,200823-040841-swi-4-gib-50-40,switch,75000,30,data/imagenet-200x65-vgg19.train.emb.gz,True,50,50,4,gibbs,0.1,informed,40,mse,sample,linear,True,False,softmax,True,50760,62730,0.6566666666666665,0.0,4.0,10.075713374247998
